city,county,lat,lon,province,staID,staName,type
秦皇岛,北戴河区,39.8207,119.5134,河北,1042A,北戴河环保局,B
保定,竞秀区,38.9108,115.4713,河北,1053A,接待中心,B
张家口,桥西区,40.8042,114.8687,河北,1059A,五金库,B
承德,双滦区,40.9655,117.8051,河北,1065A,文化中心,B
廊坊,安次区,39.5111,116.6708,河北,1067A,药材公司,B
衡水,桃城区,37.7541,115.6838,河北,1074A,电机北厂,B
邢台,桥东区,37.0851,114.5237,河北,1079A,路桥公司,B
太原,小店区,37.7394,112.5583,山西,1085A,小店,B
沈阳,大东区,41.7867,123.4678,辽宁,1105A,小河沿,B
大连,旅顺口区,38.8061,121.2529,辽宁,1115A,旅顺,B
长春,经济技术开发区,43.8447,125.3863,吉林,1126A,经开区环卫处,B
哈尔滨,道外区,45.7667,126.635,黑龙江,1134A,道外承德广场,B
南京,秦淮区,32.0309,118.8109,江苏,1155A,瑞金路,B
苏州,虎丘区,31.2472,120.561,江苏,1160A,上方山(对照点),B
南通,港闸区,32.0417,120.81,江苏,1172A,紫琅学院,B
徐州,经济技术开发区,34.2911,117.244,江苏,1181A,桃园路,B
扬州,邗江区,32.3761,119.389,江苏,1186A,邗江监测站,B
无锡,惠山区,31.6817,120.299,江苏,1195A,堰桥,B
镇江,京口区,32.1875,119.6707,江苏,1203A,新区办事处,B
淮安,清江浦区,33.575,119.007,江苏,1211A,北京南路,B
宿迁,宿城区,33.9592,118.2442,江苏,1221A,宿迁中学,B
杭州,滨江区,30.2111,120.2072,浙江,1223A,滨江,B
宁波,鄞州区,29.8635,121.5856,浙江,1240A,太古小学,B
温州,鹿城区,28.0167,120.6709,浙江,1245A,市站,B
绍兴,越城区,29.9928,120.6053,浙江,1247A,城东开发委,B
台州,椒江区,28.6542,121.419,浙江,1256A,台州环保大楼,B
舟山,普陀区,29.9558,122.3094,浙江,1259A,普陀东港,B
金华,婺城区,29.0769,119.6475,浙江,1262A,十五中,B
衢州,柯城区,28.9666,118.8709,浙江,1265A,实验学校,B
丽水,莲都区,28.4514,119.914,浙江,1267A,监测站大楼,B
合肥,包河区,31.7385,117.2776,安徽,1278A,滨湖新区,B
南昌,青山湖区,28.6842,115.9314,江西,1298A,省站,B
青岛,城阳区,36.3083,120.3999,山东,1315A,城阳区子站,B
郑州,二七区,34.7525,113.64156,河南,1323A,河医大,B
武汉,江岸区,30.5944,114.3014,湖北,1331A,汉口江滩,B
长沙,天心区,28.1178,112.9844,湖南,1342A,天心区环保局,B
珠海,香洲区,22.2335,113.4881,广东,1368A,前山,B
佛山,高明区,22.8678,112.8383,广东,1376A,高明孔堂,B
中山,东区,22.5111,113.4075,广东,1381A,紫马岭,B
江门,蓬江区,22.6058,113.1064,广东,1383A,北街,B
东莞,市区,23.0128,113.7944,广东,1390A,东城石井,B
惠州,惠阳区,22.7833,114.4645,广东,1395A,惠阳区承修路船湖子站,B
南宁,良庆区,22.735,108.3275,广西,1407A,英华嘉园,B
重庆,北碚区,29.7091,106.4522,重庆,1428A,蔡家,B
成都,成华区,30.6764,104.1419,四川,1432A,十里店,B
贵阳,花溪区,26.5161,106.694,贵州,1444A,中院村,B
昆明,呈贡区,24.8886,102.8204,云南,1450A,呈贡新区,B
拉萨,城关区,29.6541,91.1774,西藏,1459A,西藏大学,B
西安,雁塔区,34.1978,108.985,陕西,1473A,曲江文化产业集团,B
兰州,城关区,36.0464,103.831,甘肃,1479A,铁路设计院,B
银川,金凤区,38.4975,106.2328,宁夏,1488A,贺兰山东路,B
乌鲁木齐,米东区,44.1747,87.7216,新疆,1496A,米东区环保局,B
湘潭,岳塘区,27.8159,112.9227,湖南,1513A,岳塘,B
株洲,天元区,27.8244,113.135,湖南,1515A,天台山庄,B
鄂尔多斯,康巴什区,39.5989,109.8119,内蒙古,1594A,华泰汽车城,B
营口,西市区,40.6655,122.167,辽宁,1599A,西炮台,B
丹东,元宝区,40.1461,124.3933,辽宁,1602A,元宝山,B
盘锦,兴隆台区,41.1489,122.0303,辽宁,1604A,开发区,B
葫芦岛,龙港区,40.7136,120.9092,辽宁,1607A,龙港区,B
泉州,洛江区,24.9424,118.6663,福建,1613A,万安,B
临沂,河东区,35.0888,118.3956,山东,1621A,河东保险公司,B
枣庄,峄城区,34.7745,117.5852,山东,1639A,峄城区政府,B
泰安,泰山区,36.2017,117.0885,山东,1657A,人口学校,B
威海,经济开发区,37.4236,122.1214,山东,1662A,华夏技校,B
湛江,赤坎区,21.2706,110.3539,广东,1680A,湛江影剧院,B
梅州,梅江区,24.2654,116.1248,广东,1692A,环境监控中心,B
汕尾,城区,22.7898,115.3706,广东,1694A,市政府,B
河源,源城区,23.7569,114.6778,广东,1696A,源西(对照点),B
清远,清城区,23.691,113.0426,广东,1702A,环保大楼(对照点),B
揭阳,榕城区,23.5626,116.3611,广东,1710A,东兴,B
云浮,云城区,22.9539,112.0539,广东,1714A,牧羊,B
长治,潞州区,36.1989,113.1031,山西,1728A,监测站,B
临汾,尧都区,36.0855,111.5018,山西,1736A,市委,B
阳泉,城区,37.8392,113.5158,山西,1743A,大阳泉,B
赤峰,松山区,42.2816,118.9233,内蒙古,1744A,松山一中,B
鞍山,铁东区,41.0931,123.011,辽宁,1749A,太阳城,B
抚顺,新抚区,41.8642,123.9247,辽宁,1758A,新抚区,B
本溪,明山区,41.3064,123.8275,辽宁,1761A,大峪,B
锦州,太和区,41.0879,121.1115,辽宁,1767A,南山,B
吉林,昌邑区,43.8358,126.5844,吉林,1773A,东局子,B
齐齐哈尔,龙沙区,47.3227,123.9483,黑龙江,1781A,农牧车辆厂,B
牡丹江,阳明区,44.6075,129.6364,黑龙江,1787A,机车工厂,B
大庆,龙凤区,46.533,125.129,黑龙江,1790A,龙凤区,B
九江,浔阳区,29.7295,115.9877,江西,1805A,西园,B
洛阳,瀍河回族区,34.6886,112.494,河南,1815A,河南林校,B
宜昌,夷陵区,30.7819,111.3275,湖北,1843A,夷陵区,B
荆州,荆州区,30.3544,112.2008,湖北,1845A,市委党校,B
岳阳,岳阳楼区,29.355,113.2117,湖南,1852A,金凤水库(对照点),B
张家界,武陵源区,29.315,110.4417,湖南,1861A,袁家界(对照点),B
桂林,灵川县,25.3167,110.4144,广西,1862A,电子科大尧山校区(对照点),B
北海,银海区,21.588,109.2262,广西,1866A,牛尾岭水库(对照点),B
柳州,柳北区,24.3631,109.4006,广西,1874A,市九中,B
三亚,吉阳区,18.2489,109.5078,海南,1876A,河东子站,B
绵阳,游仙区,31.4741,104.7778,四川,1878A,富乐山,B
宜宾,翠屏区,28.7728,104.6201,四川,1883A,市委,B
攀枝花,东区,26.585,101.7169,四川,1890A,炳草岗,B
泸州,龙马潭区,28.9634,105.4324,四川,1893A,九狮山(对照点),B
德阳,旌阳区,31.1091,104.3553,四川,1904A,耐火材料厂,B
